,ndcItem,ndc9,ndc10,rxcui,splSetIdItem
192,41415099714,41415-997,41415-997-14,310621,038e1801-b978-4a2e-ae8c-8803596ec09c
193,72288007709,72288-077,72288-077-09,359818,03b27d95-f2cb-43d4-9bc3-55ea66fadb0d
195,55700052960,55700-529,55700-529-60,866018,03e0dfbc-5565-4dc3-a5c7-9c533e4dfda9
197,55700053060,55700-530,55700-530-60,866083,03e0dfbc-5565-4dc3-a5c7-9c533e4dfda9
199,63323072110,63323-721,63323-721-10,402243,042329d6-8077-4af2-816f-cd0a2bbcbbd3
200,54748030405,54748-304,54748-304-05,1020364,045151b3-f08c-4e02-be33-00271e15b7f0
204,53002179301,53002-1793,53002-1793-1,2397128,04569279-6b8e-49cf-86d3-f4921ffd9967
206,51316001215,51316-012,51316-012-15,855633,047985ea-f768-4f9a-bfe3-0acf40a4781d
207,55289003830,55289-038,55289-038-30,1298091,048f5b08-71ff-4b14-bafa-922ce27a6213
209,50804017668,50804-176,50804-176-68,308892,04950b56-7760-4b6c-8110-86b6a3f795b4
210,76420021007,76420-210,76420-210-07,311892,04a71deb-2c9d-436c-a574-e5991b6a5248
216,53041061658,53041-616,53041-616-58,1116568,04c6bb6a-d2f8-4322-afba-e240e8090176
217,74530002101,74530-021,74530-021-01,2286291,04c74240-d016-4321-bd04-0cb27eafbbdf
220,21922002012,21922-020,21922-020-12,1543177,050f5d10-5591-426e-9020-6516b3363304
221,00071221420,0071-2214,0071-2214-20,1313884,051742b5-b0f0-44a5-8d31-3288527b0638
225,67732087143,67732-871,67732-871-43,91349,0520d3f0-a980-4807-897a-23242aef20fe
227,00591398260,0591-3982,0591-3982-60,686379,05224473-27dc-4f6d-a52a-c40a7af2f2f4
228,00591398301,0591-3983,0591-3983-01,205322,05224473-27dc-4f6d-a52a-c40a7af2f2f4
230,00591398401,0591-3984,0591-3984-01,205323,05224473-27dc-4f6d-a52a-c40a7af2f2f4
232,00591398560,0591-3985,0591-3985-60,349514,05224473-27dc-4f6d-a52a-c40a7af2f2f4
233,63481018316,63481-183,63481-183-16,1051074,053a7300-0bce-11e0-9d16-0002a5d5c51b
242,50594087534,50594-875,50594-875-34,199308,0545aa77-d824-422b-b8a3-e963fedecb9d
243,00781531701,0781-5317,0781-5317-01,313780,0553e26c-f2aa-43aa-adf9-6eb951a501d3
251,00781531801,0781-5318,0781-5318-01,313779,0553e26c-f2aa-43aa-adf9-6eb951a501d3
259,61748021810,61748-218,61748-218-10,1085736,057b4824-1998-4ae6-b930-a9a9cb7f1148
261,00310027110,0310-0271,0310-0271-10,153639,0584dda8-bc3c-48fe-1a90-79608f78e8a0
262,00310027210,0310-0272,0310-0272-10,153640,0584dda8-bc3c-48fe-1a90-79608f78e8a0
263,00310027460,0310-0274,0310-0274-60,284509,0584dda8-bc3c-48fe-1a90-79608f78e8a0
264,00310027510,0310-0275,0310-0275-10,153638,0584dda8-bc3c-48fe-1a90-79608f78e8a0
266,00310027810,0310-0278,0310-0278-10,616489,0584dda8-bc3c-48fe-1a90-79608f78e8a0
268,00310027910,0310-0279,0310-0279-10,616485,0584dda8-bc3c-48fe-1a90-79608f78e8a0
270,69842058301,69842-583,69842-583-01,562600,058fab12-3100-4e47-8dce-7098b984b76f
271,82517000104,82517-001,82517-001-04,2599519,05a9605b-0d01-4333-8e54-7202e7c31c49
272,52817083004,52817-830,52817-830-04,315134,05ab18c1-fb01-48fa-8f05-0200bb8a5edf
273,24979018646,24979-186,24979-186-46,749206,05b076d9-6516-4538-8e05-9709a677ed2f
274,71205030005,71205-300,71205-300-05,309307,05b2836d-cd3d-4d7f-970c-66ec2d788667
275,00480315445,0480-3154,0480-3154-45,1663745,05babd5f-18ab-4646-8962-cb000ed0f9a8
276,42571038425,42571-384,42571-384-25,318202,05cf40f6-1cef-42ea-8213-062880ce5aa2
277,61314063705,61314-637,61314-637-05,1376336,05d205c7-8f51-46b9-a6c5-4199bc432b26
283,10237075604,10237-756,10237-756-04,1301152,05efbe22-2fed-42e3-a181-65558805cb2a
285,50228014405,50228-144,50228-144-05,993541,05f82eca-cc87-4580-acd7-e6491c651881
288,50228014505,50228-145,50228-145-05,993557,05f82eca-cc87-4580-acd7-e6491c651881
291,63629404201,63629-4042,63629-4042-1,198202,0609253c-505b-c6d0-241e-90ffdba25ca2
295,71335010201,71335-0102,71335-0102-1,617311,062f997d-1b21-4657-9dfa-99cb318d4479
299,69721000530,69721-005,69721-005-30,1609070,063517c0-bcb1-46dd-85f1-bbb2f24274ef
300,72476047301,72476-473,72476-473-01,402014,063cfad8-3ca6-4b72-a4c9-512b8047bae3
302,79903000040,79903-000,79903-000-40,1111339,06467360-22fe-4a48-b234-06dbff30e853
303,69626520009,69626-5200,69626-5200-9,1485596,06665701-5f1c-4f8f-8775-e0a4a9ef2029
305,55670047447,55670-474,55670-474-47,308761,0666d58a-2805-06e5-e054-00144ff88e88
