,ndcItem,ndc9,ndc10,rxcui,splSetIdItem
2338,68083011401,68083-114,68083-114-01,283504,35716914-ac73-43c0-9aa0-09c99211d941
2339,66689034599,66689-345,66689-345-99,197499,357a1f12-eefd-4299-b4d4-625811a5a608
2340,66689034699,66689-346,66689-346-99,197500,357a1f12-eefd-4299-b4d4-625811a5a608
2341,54748030504,54748-305,54748-305-04,1020364,35977023-36e1-4d2d-baf6-ca59afadace8
2343,60429028630,60429-286,60429-286-30,199224,35c8037f-2601-4bd3-b423-2f53af7c0be3
2345,16729029805,16729-298,16729-298-05,283504,35e0d160-813f-41d7-a382-d2cab6485d9c
2346,71205066505,71205-665,71205-665-05,198148,35f504c3-1cf5-455d-8226-9ffeea606623
2354,70518267300,70518-2673,70518-2673-0,855633,35f52a3c-6e79-40c1-91db-0db4335b20d9
2355,72865019101,72865-191,72865-191-01,199376,360a1012-4bdb-473a-8f1f-4550d3b51343
2356,72865019201,72865-192,72865-192-01,199381,360a1012-4bdb-473a-8f1f-4550d3b51343
2357,72865019301,72865-193,72865-193-01,898490,360a1012-4bdb-473a-8f1f-4550d3b51343
2358,63187094630,63187-946,63187-946-30,200031,36230cc8-e808-4f74-a27d-4367eecd21f7
2361,16714074601,16714-746,16714-746-01,199119,36341291-2d76-47e6-9d61-194ba7f9bd5a
2362,16714074701,16714-747,16714-747-01,198051,36341291-2d76-47e6-9d61-194ba7f9bd5a
2365,16714074801,16714-748,16714-748-01,200329,36341291-2d76-47e6-9d61-194ba7f9bd5a
2368,70710165401,70710-1654,70710-1654-1,1728077,363665ca-db15-4123-84ac-0ae66b5f1363
2369,70710165501,70710-1655,70710-1655-1,1728072,363665ca-db15-4123-84ac-0ae66b5f1363
2370,70710167401,70710-1674,70710-1674-1,2601728,363665ca-db15-4123-84ac-0ae66b5f1363
2371,42043041001,42043-410,42043-410-01,313222,363cd62d-cc38-4fc3-8d4b-281bdb2a2369
2373,69238152101,69238-1521,69238-1521-1,1534809,36445b6a-e0f2-42f7-a8f3-5b80c90b87dd
2375,60687053601,60687-536,60687-536-01,197979,364d09bb-5adc-4e84-af73-a77ad029bc53
2377,60687054701,60687-547,60687-547-01,311671,364d09bb-5adc-4e84-af73-a77ad029bc53
2379,00363123560,0363-1235,0363-1235-60,308297,36503181-0fda-4127-b3f0-bdb1b56bb0ed
2380,63629227101,63629-2271,63629-2271-1,861164,365e2a3b-3d43-4f32-8597-912932680fe2
2381,00409733410,0409-7334,0409-7334-10,309090,365fc265-8e6c-432f-9fda-911f5f7fb451
2382,00591313760,0591-3137,0591-3137-60,312025,367a1004-59c1-4474-a4f6-ce8bf5a1b043
2383,00591313830,0591-3138,0591-3138-30,198041,367a1004-59c1-4474-a4f6-ce8bf5a1b043
2384,43405000901,43405-009,43405-009-01,1654728,36abfc2c-d424-4df8-968d-866342c96a56
2390,79481007501,79481-0075,79481-0075-1,402014,36adb053-3189-4c91-87dd-e122a2c8e812
2392,54748020105,54748-201,54748-201-05,581660,36b26803-ed48-498f-bc0e-15473495a35a
2398,16714072701,16714-727,16714-727-01,1736776,36e7a154-759a-487b-b67f-6c605d017c7d
2399,16714072801,16714-728,16714-728-01,1736781,36e7a154-759a-487b-b67f-6c605d017c7d
2400,68788762403,68788-7624,68788-7624-3,310410,36f23da0-fd42-4d23-adf2-6a3968f67deb
2403,11822018601,11822-0186,11822-0186-1,1248354,3701c1fc-e13d-422f-9b66-b0531f4d8e87
2406,21130018771,21130-187,21130-187-71,849574,3703ee78-695e-4638-90aa-3ce57a65757e
2409,62559039020,62559-390,62559-390-20,313570,3707ad2e-5c82-4111-a370-e518e5e7e4c5
2411,62559039120,62559-391,62559-391-20,313571,3707ad2e-5c82-4111-a370-e518e5e7e4c5
2413,00904666361,0904-6663,0904-6663-61,197304,37135ba5-63fd-427f-9b4a-8b7d1009bbca
2414,50090580200,50090-5802,50090-5802-0,314229,371390e0-5d6d-4848-bb8d-2e45d416496c
2416,50268057611,50268-576,50268-576-11,311787,371ca7b2-c62d-ef4b-3076-890b385bfff8
2418,55316037016,55316-370,55316-370-16,581662,372f3481-6def-4f67-918c-27dd9df1589b
2421,69483000530,69483-005,69483-005-30,238910,372f99c9-4ad3-4631-b8c8-2a34c47343cc
2422,69842065963,69842-659,69842-659-63,310273,373f5e28-e9e2-4af7-8a27-29b5d8f28b50
2423,63629224601,63629-2246,63629-2246-1,863664,3747ec7f-dea6-474f-8767-61e8f71d0bf3
2424,10237076101,10237-761,10237-761-01,1800759,3761c7b3-053b-0f50-e054-00144ff88e88
2426,59651049347,59651-493,59651-493-47,307730,37761c4f-4378-472e-a41b-6a1d40575cb7
2427,71573010201,71573-102,71573-102-01,283602,378311aa-95f7-4c69-bc00-e688468262bd
2428,59762053101,59762-0531,59762-0531-1,1313112,37943ec1-a8d2-42df-967e-6f96f84c017b
2430,42794001308,42794-013,42794-013-08,242831,37b4d132-84f1-4394-b468-7e74eeec61eb
2431,42794001408,42794-014,42794-014-08,239239,37b4d132-84f1-4394-b468-7e74eeec61eb
2432,00904687504,0904-6875,0904-6875-04,664741,37b8fbea-b1d0-451e-b2bc-ef8957e12fb6
2433,71363010030,71363-100,71363-100-30,238910,37e2d51d-8526-4766-9f15-0ef4bc1f1155
2434,69097092735,69097-927,69097-927-35,1728055,37e7ef89-fd77-44e0-9271-ae91f8822603
2435,63187063601,63187-636,63187-636-01,198052,381b44e7-a5a1-42ad-bcea-1ab4c82ff5d4
2443,67457035959,67457-359,67457-359-59,859824,3832d3d3-15ce-4d41-8431-11e9bd04cf4d
2444,11822461100,11822-4611,11822-4611-0,308297,385bef49-1df3-44ff-8f3b-91869242ea88
2445,60687050525,60687-505,60687-505-25,197351,3860f802-4ed8-48e6-9962-3528b77f1e7b
2447,11673028115,11673-281,11673-281-15,209884,3862565f-dbe6-4d21-9ade-18b0e990e861
2449,53041061758,53041-617,53041-617-58,1043543,387df403-7803-4031-915e-8de9b103a162
2450,68788709801,68788-7098,68788-7098-1,310434,3883326b-ea24-48f9-8011-b1b383c2f57e
2455,63187067400,63187-674,63187-674-00,855332,388bfa49-f4f7-412a-80ff-d09442489e2b
2460,62011023201,62011-0232,62011-0232-1,311237,38a248d6-3029-49c9-9198-efc883f2e67f
2461,36800036978,36800-369,36800-369-78,1148399,38abe710-3d8a-41b0-b057-38c5dfd53322
2462,70700014901,70700-149,70700-149-01,199119,38bd8e13-591e-f11b-7d8a-11717c56493c
2465,70700015000,70700-150,70700-150-00,198051,38bd8e13-591e-f11b-7d8a-11717c56493c
2469,71335068000,71335-0680,71335-0680-0,197321,390dcfae-5a68-4b89-a3f4-8a8fb6984b5c
2479,64239011202,64239-112,64239-112-02,2679449,3922a971-b371-4159-8c34-369798809965
2487,36800024101,36800-241,36800-241-01,855172,393616df-52f1-4e77-b69c-8239ca193d5b
2490,71205052030,71205-520,71205-520-30,312828,394c7e27-52a2-4d4c-8c6e-fe37b03266ae
2493,55154499800,55154-4998,55154-4998-0,317128,394cd233-a5a5-40ab-9cd1-65db1d1edf86
2494,52000002837,52000-028,52000-028-37,1372298,3955ed28-e2b5-1695-e054-00144ff8d46c
2496,49035009934,49035-099,49035-099-34,701961,396bbc29-e6e5-4e06-8ec1-20048dd085d5
2497,67091035114,67091-351,67091-351-14,1014678,39a7d993-805d-4fe8-bc21-3b08e8f78b62
2498,53002835001,53002-8350,53002-8350-1,203105,39aa6953-9e27-4136-ab4a-e30db49ee81b
2499,71205060230,71205-602,71205-602-30,596930,39bb9e78-e550-4bf9-ba6a-b4d9c7beaeb7
2502,52000005901,52000-059,52000-059-01,1366116,39ec0cee-7d19-464d-9ac8-ba2d736bd186
2503,63629203001,63629-2030,63629-2030-1,706548,39ef0a4d-52c8-4d1e-941e-749abe2f5bb2
2504,69004000630,69004-006,69004-006-30,238910,39f64f10-f442-45a9-a060-9f99e78c678d
2505,69301003015,69301-030,69301-030-15,245593,39fcacf0-432e-42f6-882d-da79e535b092
2506,11822423008,11822-4230,11822-4230-8,1246673,3a2eb7f3-b72b-435c-a609-ce7050cccff4
2507,60687045111,60687-451,60687-451-11,351256,3a3047f2-0155-4a07-955f-839a312cf879
2509,00363051133,0363-0511,0363-0511-33,283641,3a456dab-0a2d-4e48-a8e2-e49a7acef963
2512,50090356800,50090-3568,50090-3568-0,854801,3a520306-fe3e-4830-963f-04b080db3abc
2513,50269001401,50269-014,50269-014-01,1020026,3a595eb8-2409-4598-8704-ab59b57bd062
2514,63187056005,63187-560,63187-560-05,310467,3a6677a6-def5-443e-82bc-c185d41f03b7
2515,63187085712,63187-857,63187-857-12,617993,3a7248ca-2855-433e-aabc-42f0bb0db118
2518,81522008100,81522-081,81522-081-00,992766,3a7ac36f-1c51-4160-b1d8-04e499fd1bce
2519,81522014500,81522-145,81522-145-00,992765,3a7ac36f-1c51-4160-b1d8-04e499fd1bce
2520,81522019300,81522-193,81522-193-00,998483,3a7ac36f-1c51-4160-b1d8-04e499fd1bce
2521,67877047460,67877-474,67877-474-60,1037179,3a8ec82a-c367-40dc-9302-e1896fcb05ea
2522,67877047560,67877-475,67877-475-60,1037045,3a8ec82a-c367-40dc-9302-e1896fcb05ea
2523,69509000830,69509-008,69509-008-30,238910,3ad7867c-b584-4355-9fd7-7582919751bd
2524,49035053401,49035-534,49035-534-01,204642,3afbdc09-622d-4681-a6fb-8429a0a3df39
2525,58602090212,58602-902,58602-902-12,310964,3b0e77a1-b49d-4c67-81dd-66450dabcf3b
2536,35573040315,35573-403,35573-403-15,197312,3b5db3a5-a875-466a-a156-b05377404e83
2538,00069315083,0069-3150,0069-3150-83,1668240,3b631aa1-2d46-40bc-a614-d698301ea4f9
2542,42023015901,42023-159,42023-159-01,1660016,3b7a4364-668d-4eb2-a20c-04adc35aabe4
2546,42023016801,42023-168,42023-168-01,1490057,3b7a4364-668d-4eb2-a20c-04adc35aabe4
2547,55700066335,55700-663,55700-663-35,197313,3b864d71-fc42-49ad-bb67-b637cee266f4
2548,55700066435,55700-664,55700-664-35,197311,3b864d71-fc42-49ad-bb67-b637cee266f4
2551,63323082424,63323-824,63323-824-24,1795480,3b8f2692-4371-4f1a-95af-b41842131fdd
2557,69745001015,69745-010,69745-010-15,245593,3bc01b48-9074-447b-a39b-288971141706
2558,46122042660,46122-426,46122-426-60,1090487,3bcdeb3c-1a43-4a66-a488-69abe696d734
2559,11429100301,11429-1003,11429-1003-1,581662,3bd696e2-9125-4604-ace9-d931d9fb5ea3
2567,55289052030,55289-520,55289-520-30,1245449,3bdbd763-b3e2-4656-8d0a-41a4502647d5
2568,79481098100,79481-0981,79481-0981-0,1014675,3be2a420-e570-4000-a37e-ce1638cef6dc
2569,42756110103,42756-1101,42756-1101-3,238910,3be68966-199c-481e-8b9e-e994c41fd96a
2570,52862002503,52862-025,52862-025-03,808520,3c32b817-39fa-4801-9f40-6073b3e18855
2577,42756111307,42756-1113,42756-1113-7,347669,3c33899d-b3f7-4a6c-bdba-2739cce1296a
2578,21749080717,21749-807,21749-807-17,616805,3c3b14e1-4a9d-4ebb-b6b6-ab0173ac06e5
2597,70000058001,70000-0580,70000-0580-1,1305603,3c40c30b-a7e1-470d-845a-a3d93bed9491
2599,59651000715,59651-007,59651-007-15,308459,3c902990-b870-4725-b9fe-76b8be633e1c
2600,59651000815,59651-008,59651-008-15,141963,3c902990-b870-4725-b9fe-76b8be633e1c
2603,76348041301,76348-413,76348-413-01,247817,3ca3b7d8-702a-036b-e054-00144ff8d46c
2605,17478023535,17478-235,17478-235-35,308493,3cac80c3-0798-4f8a-9756-d5b05d3d2dca
2606,66975035230,66975-352,66975-352-30,1541816,3cc5d095-5f9c-4e4d-8971-0079e949b7ca
2607,71141015232,71141-152,71141-152-32,562600,3ccd3f9f-832d-49f9-b4b0-e4677ca3e245
2608,71335014200,71335-0142,71335-0142-0,197589,3ccd7dc7-eff4-42bf-b538-610996192881
2618,71335049500,71335-0495,71335-0495-0,197591,3ccd7dc7-eff4-42bf-b538-610996192881
2628,71335061601,71335-0616,71335-0616-1,197590,3ccd7dc7-eff4-42bf-b538-610996192881
2631,53002845001,53002-8450,53002-8450-1,197409,3cd0f7e2-e1bc-4ec7-91d3-58dfe37b04b5
2632,43598008511,43598-085,43598-085-11,2103182,3cecafe6-94b8-452d-8f4c-d2559d79fe98
2634,69842038801,69842-388,69842-388-01,240651,3cf25c43-592f-41cb-aa0b-a82f4e7faf3d
2635,71205051014,71205-510,71205-510-14,238154,3cf799b4-c785-4ae2-908b-c42e426733dc
2639,73057035609,73057-356,73057-356-09,308416,3d225a11-a53b-4dc2-9c25-13cab007900f
2641,50594015335,50594-153,50594-153-35,209884,3d23226b-ccb6-45dc-bcf1-6ade1d3fd7cd
2642,63187009515,63187-095,63187-095-15,308714,3d235926-6f17-4aa5-be82-7f1b4357e247
2644,00009085605,0009-0856,0009-0856-05,213638,3d282998-ff0c-480a-bd80-155606ef0a65
2646,55910054116,55910-541,55910-541-16,1043690,3d298bd8-1433-46fc-baff-9b104b067f5d
2648,63629144601,63629-1446,63629-1446-1,617314,3d29ce1f-a9cf-4883-a320-712c6d21a297
2650,56136004001,56136-040,56136-040-01,581662,3d4ae963-47b2-429a-836f-4fe3099f7df6
2651,11822018001,11822-0180,11822-0180-1,725145,3d5a4743-1581-450c-8220-1b638ded9b16
2652,55910094610,55910-946,55910-946-10,307668,3d989642-cfc3-4621-8d56-db193e533557
2655,66267007328,66267-073,66267-073-28,197596,3dbcccb5-5a36-45cf-e054-00144ff8d46c
2657,69484000330,69484-003,69484-003-30,238910,3dca05de-cf63-4ca0-88be-473ea637e6b4
2658,24208035801,24208-358,24208-358-01,545259,3dd9b060-5355-404d-bdf1-09ee8b52a9f5
2661,11788000801,11788-008,11788-008-01,197805,3e131710-2579-446e-8076-f602ecea813f
2663,11788000901,11788-009,11788-009-01,197806,3e131710-2579-446e-8076-f602ecea813f
2665,11788001001,11788-010,11788-010-01,197807,3e131710-2579-446e-8076-f602ecea813f
2667,00378110501,0378-1105,0378-1105-01,310490,3e21bcc7-6f0d-4d63-befd-aa3ac8c63e37
2669,00378111001,0378-1110,0378-1110-01,310488,3e21bcc7-6f0d-4d63-befd-aa3ac8c63e37
2671,42385096360,42385-963,42385-963-60,616749,3e265b25-81a6-4348-98d7-08df2b5c3b62
2672,42385096460,42385-964,42385-964-60,728231,3e265b25-81a6-4348-98d7-08df2b5c3b62
2673,66267010030,66267-100,66267-100-30,310490,3e344556-2471-1067-e054-00144ff8d46c
2678,00904707341,0904-7073,0904-7073-41,312085,3e3677bb-9b43-4c93-b65b-7491f4019e24
2680,71205045321,71205-453,71205-453-21,762675,3e37236f-8ba8-4a1c-87c8-62b787890fae
2681,16252051401,16252-514,16252-514-01,197511,3e4402d4-e0d3-9846-3e81-ed46f34137fe
2682,16252051501,16252-515,16252-515-01,309309,3e4402d4-e0d3-9846-3e81-ed46f34137fe
2683,16252051605,16252-516,16252-516-05,197512,3e4402d4-e0d3-9846-3e81-ed46f34137fe
2684,71610064160,71610-641,71610-641-60,312617,3e44e294-1d67-4788-ae07-5a2152d23839
2685,63187082530,63187-825,63187-825-30,197884,3e4e69f6-b8a6-462d-a7ec-4cd6636512d0
2688,71020000116,71020-001,71020-001-16,1046593,3e52df25-deca-07d1-e054-00144ff88e88
2690,71020000332,71020-003,71020-003-32,1046593,3e5c5148-3196-2899-e054-00144ff8d46c
2691,68788713100,68788-7131,68788-7131-0,828320,3e62ccc1-8aac-4688-ad30-e5b6a98d4930
2698,71020000464,71020-004,71020-004-64,1046593,3e64d344-8883-0235-e054-00144ff8d46c
2699,50804010930,50804-109,50804-109-30,1147685,3e70fbaa-78d1-48b6-824f-66a6bc22ecff
2700,60429096601,60429-966,60429-966-01,1000048,3e7b0562-15e0-4294-a826-01edc17a3ac0
2702,60429096701,60429-967,60429-967-01,1000070,3e7b0562-15e0-4294-a826-01edc17a3ac0
2704,60429096801,60429-968,60429-968-01,1000076,3e7b0562-15e0-4294-a826-01edc17a3ac0
2706,60429096901,60429-969,60429-969-01,1000097,3e7b0562-15e0-4294-a826-01edc17a3ac0
2708,60429097001,60429-970,60429-970-01,1000058,3e7b0562-15e0-4294-a826-01edc17a3ac0
2710,76420020901,76420-209,76420-209-01,1049214,3e89f02d-b6e7-4641-82d4-f756518a8914
2714,55289004530,55289-045,55289-045-30,197318,3e95d573-74b2-4b0e-9397-c2cdaf7f41e5
2715,37808098812,37808-988,37808-988-12,978006,3ea49be2-1744-4d14-bc43-09d35fd4b3c7
2716,56062009423,56062-094,56062-094-23,1049182,3ea6dfa8-9865-4f23-bc9f-101f5f36e0ac
2718,55670015013,55670-150,55670-150-13,1101534,3eac8e5b-94b7-43b9-8364-31a7c1b63148
2720,66267016630,66267-166,66267-166-30,803353,3eb22c54-9580-089b-e054-00144ff88e88
2723,50227101003,50227-1010,50227-1010-3,238910,3eb3bbc6-07d4-44c5-adac-701db06f9cd8
2724,50268035011,50268-350,50268-350-11,310459,3ebb5947-1fe5-9740-6a4b-1f8b577b2711
2726,55154714100,55154-7141,55154-7141-0,314111,3ebc22f9-c6ae-4c3c-a903-61c9d9e93ac6
2727,35356084606,35356-846,35356-846-06,309309,3ec5549b-ea5f-40cb-9d26-a6ff539f51dc
2732,59651053003,59651-530,59651-530-03,603208,3ecafc1e-979a-4aff-a276-18fc0b110491
2734,59651053103,59651-531,59651-531-03,603203,3ecafc1e-979a-4aff-a276-18fc0b110491
2736,59651053203,59651-532,59651-532-03,603206,3ecafc1e-979a-4aff-a276-18fc0b110491
2738,58232074001,58232-0740,58232-0740-1,1293717,3ef170f8-f60c-48ea-b21f-742e84484a4c
2739,00713031787,0713-0317,0713-0317-87,309291,3ef301b7-c40a-0635-4a76-185141473dba
2741,68083011301,68083-113,68083-113-01,1740467,3efa5604-96c3-42a0-8e99-b3de4a66aa92
2743,00574010714,0574-0107,0574-0107-14,309371,3f57ef51-8202-4d0b-95a8-d2df468b8d9a
2746,71391012705,71391-127,71391-127-05,420222,3f6feec5-2019-4fe6-b2b9-fd1c04d9a1f1
2747,45802043732,45802-437,45802-437-32,861353,3f75880b-9ead-4c6e-b999-3bd7e1643ce5
2749,61919086930,61919-869,61919-869-30,310385,3fb5ac0a-344e-5b94-e054-00144ff88e88
2752,00363008100,0363-0081,0363-0081-00,992766,3fb97e73-a088-472b-928e-1807fa822e1b
2753,63940062845,63940-628,63940-628-45,1046593,3fc496f8-48b1-4e3a-9f8b-fa84831cbe61
2754,53225366001,53225-3660,53225-3660-1,1812079,3fcb106c-f729-17d9-e054-00144ff8d46c
2757,50227100903,50227-1009,50227-1009-3,238910,3fe5283f-967b-4f57-941b-ab80ea40ce50
2758,53942046645,53942-466,53942-466-45,1046593,3fe61130-9ec2-4e71-b147-320a81c4344c
2760,67457062102,67457-621,67457-621-02,1792144,4015ad7d-46bf-454e-ac86-91fa5dd6a07b
2762,67457062205,67457-622,67457-622-05,1085754,4015ad7d-46bf-454e-ac86-91fa5dd6a07b
2763,67457062310,67457-623,67457-623-10,1085754,4015ad7d-46bf-454e-ac86-91fa5dd6a07b
2764,69256083143,69256-831,69256-831-43,705909,401e3a7e-54be-47cc-88c3-a343f5cbbd10
2765,76348041401,76348-414,76348-414-01,311503,402df5c1-b8cb-17a2-e054-00144ff8d46c
2766,42023019501,42023-195,42023-195-01,1492043,4032672e-1bb0-427d-a3b3-09cda4beaf34
2767,43063037330,43063-373,43063-373-30,617312,4053ed16-9219-4657-b86f-52ef6b66d005
2768,53041057703,53041-577,53041-577-03,1090463,40565500-944b-47f2-8563-5df05469e418
2769,65162000103,65162-001,65162-001-03,855818,406cc201-89b6-43cc-9e14-a59327a5b4d8
2770,65162000203,65162-002,65162-002-03,855812,406cc201-89b6-43cc-9e14-a59327a5b4d8
2771,55910050416,55910-504,55910-504-16,106258,40710bae-32bb-47fd-b3dd-31d2c98ee70f
2772,17478066030,17478-660,17478-660-30,465377,4072b547-c242-4a40-8c91-5481b86cbf1e
2773,49999002630,49999-026,49999-026-30,993890,407e27f7-05f5-40e5-a017-ff4fe4222e07
2775,42571014205,42571-142,42571-142-05,686379,408b30d6-f5c2-4239-b993-d8f77a8e160b
2780,42571014301,42571-143,42571-143-01,205322,408b30d6-f5c2-4239-b993-d8f77a8e160b
2786,42571014401,42571-144,42571-144-01,205323,408b30d6-f5c2-4239-b993-d8f77a8e160b
2792,42571014505,42571-145,42571-145-05,349514,408b30d6-f5c2-4239-b993-d8f77a8e160b
2794,53002225100,53002-2251,53002-2251-0,861007,408b6026-a94a-4723-b5e4-4a309e3f735f
2797,66267025930,66267-259,66267-259-30,628953,40ba25e2-981d-3454-e054-00144ff8d46c
2799,69004000430,69004-004,69004-004-30,238910,40bd7406-7ee6-47fe-8481-0a4c8cefce65
2800,23155004303,23155-043,23155-043-03,205284,40dd071a-d07f-452f-bf1a-2a23b9d22ca4
2802,23155004403,23155-044,23155-044-03,205285,40dd071a-d07f-452f-bf1a-2a23b9d22ca4
2804,66267029130,66267-291,66267-291-30,991061,40e21575-320f-2ac6-e054-00144ff88e88
2807,66267032530,66267-325,66267-325-30,313219,40e377ec-fec2-0963-e054-00144ff8d46c
2808,66267039460,66267-394,66267-394-60,979549,40e5b0bf-347e-30f6-e054-00144ff88e88
2809,64980044201,64980-442,64980-442-01,197316,40f3cdbc-c9ee-4a3c-8061-a44b9a1d035c
2811,64980044301,64980-443,64980-443-01,197318,40f3cdbc-c9ee-4a3c-8061-a44b9a1d035c
2813,42794002808,42794-028,42794-028-08,197623,40f5497f-fe84-43b2-8ff4-32d59edf3917
2814,68071189203,68071-1892,68071-1892-3,312744,40fb8288-e06c-3833-e054-00144ff88e88
2815,69301003215,69301-032,69301-032-15,245593,4105872b-d66b-466f-8185-5d22829e2655
2816,71335008404,71335-0084,71335-0084-4,308753,41121d6e-0c60-411f-94d5-95a7ea525de1
2817,68788758601,68788-7586,68788-7586-1,313582,414fee77-34ff-420e-9d41-8298ba5aab7f
2821,66267041820,66267-418,66267-418-20,834022,415a5393-296f-30e3-e054-00144ff8d46c
2822,66267050630,66267-506,66267-506-30,197903,415c2698-7787-49f8-e054-00144ff88e88
2824,66267041614,66267-416,66267-416-14,1650143,415e373b-4755-1399-e054-00144ff8d46c
2826,61924010604,61924-106,61924-106-04,902574,4180193e-9d34-2ecf-e054-00144ff88e88
2828,65219020401,65219-204,65219-204-01,809974,419ff519-2b19-4fb9-adfa-868ba0229407
2830,70677005501,70677-0055,70677-0055-1,636522,41a3adc9-22ca-4409-ba07-3f6ea3b68cf2
2831,00378518593,0378-5185,0378-5185-93,855818,41a4e332-6725-4cb7-940a-8291cf56cfe4
2832,00378518693,0378-5186,0378-5186-93,855812,41a4e332-6725-4cb7-940a-8291cf56cfe4
2833,00517205101,0517-2051,0517-2051-01,1928567,41a85cca-c463-4f39-9335-177b04c290a9
2835,00517210201,0517-2102,0517-2102-01,1928569,41a85cca-c463-4f39-9335-177b04c290a9
2837,00517250501,0517-2505,0517-2505-01,2667657,41a85cca-c463-4f39-9335-177b04c290a9
2839,00904708106,0904-7081,0904-7081-06,1812013,41aa6fbd-96c1-40f7-92d4-cfdd2d5325e9
2841,00904708204,0904-7082,0904-7082-04,1812015,41aa6fbd-96c1-40f7-92d4-cfdd2d5325e9
2843,46122068374,46122-683,46122-683-74,310621,41b4a15d-f5a7-4c45-b950-0aa6b093be1c
2844,50383058716,50383-587,50383-587-16,312055,41c75856-4e15-4397-a6d4-c1193c0eb0e7
2846,71610021160,71610-211,71610-211-60,310431,41ce952c-6c16-4b5d-adf7-9ea114e63eb3
2852,76282032101,76282-321,76282-321-01,310430,41d1ead3-046e-4abf-ae0a-cb126a1f5848
2857,76282032301,76282-323,76282-323-01,310432,41d1ead3-046e-4abf-ae0a-cb126a1f5848
2861,76282062701,76282-627,76282-627-01,310431,41d1ead3-046e-4abf-ae0a-cb126a1f5848
2868,71205094930,71205-949,71205-949-30,349287,41f0f514-1fa9-47a0-a085-a31354842f96
2874,00363161203,0363-1612,0363-1612-03,311372,41f8fc1d-2d14-48da-a233-23e9c11296d9
2881,71205050430,71205-504,71205-504-30,993541,42201f4a-8856-4499-8bc3-d18612b1ec34
2884,69784024330,69784-243,69784-243-30,854870,42282e11-3179-420e-b979-e53dd5bd4b12
2885,52000001313,52000-013,52000-013-13,1043046,422bd4a3-f03f-496e-b44f-d51885678baa
2891,00363070101,0363-0701,0363-0701-01,310273,42392cb1-7958-4a2f-8622-f00f02afd961
2896,43547000503,43547-005,43547-005-03,1091839,4251c764-7224-4f94-9de7-b6c76cb1f5cd
2898,43498031130,43498-311,43498-311-30,238910,4255da05-d264-4a4c-bd67-53d4862c0682
2899,00527190506,0527-1905,0527-1905-06,199663,425faad5-8dbc-455b-a8c3-60bdf0e2ce54
2900,68400045930,68400-459,68400-459-30,238910,4261cd90-5087-44a3-bef9-72d33dbf0dfd
2901,00093735056,0093-7350,0093-7350-56,596843,427cf924-be17-47dc-8f77-115fa2f3fe17
2902,00093735156,0093-7351,0093-7351-56,311277,427cf924-be17-47dc-8f77-115fa2f3fe17
2903,63629115001,63629-1150,63629-1150-1,1436933,429dc736-4c44-4119-bf71-98244acec6db
2904,71205054501,71205-545,71205-545-01,1665021,42ba7a9d-7d2b-4eac-af59-897151a8c924
2905,72603011001,72603-110,72603-110-01,1100075,42d5baa8-aca7-49d8-9c24-9d87b707ec20
2906,72603011101,72603-111,72603-111-01,1918042,42d5baa8-aca7-49d8-9c24-9d87b707ec20
2907,11534015901,11534-159,11534-159-01,803348,43024f64-2d77-49a9-80fd-ad07a86c69a3
2910,11534016001,11534-160,11534-160-01,803353,43024f64-2d77-49a9-80fd-ad07a86c69a3
2913,65923010414,65923-104,65923-104-14,1116155,430b5753-3087-4cb1-bf54-0eedc3f4b1d5
2914,62559092014,62559-920,62559-920-14,313211,43114f8c-9401-4770-8c27-71617bbc80cd
2916,62559092114,62559-921,62559-921-14,313209,43114f8c-9401-4770-8c27-71617bbc80cd
2918,62559092214,62559-922,62559-922-14,317160,43114f8c-9401-4770-8c27-71617bbc80cd
2920,62559092314,62559-923,62559-923-14,700883,43114f8c-9401-4770-8c27-71617bbc80cd
2922,62559092414,62559-924,62559-924-14,700885,43114f8c-9401-4770-8c27-71617bbc80cd
2924,62559092551,62559-925,62559-925-51,313210,43114f8c-9401-4770-8c27-71617bbc80cd
2925,69004000530,69004-005,69004-005-30,238910,43194fe1-87a1-4ffa-ad73-a1dcec91fd63
2926,11822087104,11822-0871,11822-0871-4,91349,431d4932-22d8-46db-8412-afb6728b52b9
2929,62332034931,62332-349,62332-349-31,562524,43231abb-2a5d-44ab-b3e6-7564a1131ac5
2931,71610058315,71610-583,71610-583-15,311486,432c3937-a4fe-4c92-8452-9ed2dd2cfc9a
2938,63304008301,63304-083,63304-083-01,991188,432cd4ca-c728-48ff-beec-2485f5e02512
2940,63304011401,63304-114,63304-114-01,991044,432cd4ca-c728-48ff-beec-2485f5e02512
2942,63304012201,63304-122,63304-122-01,991336,432cd4ca-c728-48ff-beec-2485f5e02512
2944,63304014301,63304-143,63304-143-01,991194,432cd4ca-c728-48ff-beec-2485f5e02512
2946,63304018501,63304-185,63304-185-01,991039,432cd4ca-c728-48ff-beec-2485f5e02512
2948,68391000045,68391-000,68391-000-45,310621,433588eb-18ad-473f-9527-4947a143824e
2949,78151003001,78151-030,78151-030-01,1737795,433f7e8f-435b-4f10-b25d-1291d90afabd
2951,41250043358,41250-433,41250-433-58,1359350,43486da5-6e8b-45c0-bd7e-cc2d8b28c510
2952,41415099620,41415-996,41415-996-20,636522,435e627c-b4f4-4214-904a-7527aab32cbf
2953,36800060155,36800-601,36800-601-55,2003656,436c5ea1-c5ee-481f-803d-439f65873b1c
