ndc11,ndc9,unit_price,year,generic_brand
60687060401,606870604,0.12797,2022,1
60687060411,606870604,0.12797,2022,1
65162003310,651620033,0.12797,2022,1
71930005512,719300055,0.12797,2022,1
71930005552,719300055,0.12797,2022,1
406048501,4060485,0.30581,2022,1
406048505,4060485,0.30581,2022,1
603233921,6032339,0.30581,2022,1
603233928,6032339,0.30581,2022,1
13107006001,131070060,0.30581,2022,1
13107006005,131070060,0.30581,2022,1
13107006099,131070060,0.30581,2022,1
60687061501,606870615,0.30581,2022,1
60687061511,606870615,0.30581,2022,1
71930005612,719300056,0.30581,2022,1
71930005652,719300056,0.30581,2022,1
121050416,1210504,0.01351,2022,1
50383007916,503830079,0.01351,2022,1
60432024516,604320245,0.01351,2022,1
121050404,1210504,0.01918,2022,1
23155028701,231550287,0.14303,2022,1
51672402201,516724022,0.14303,2022,1
52817020010,528170200,0.14303,2022,1
64380083306,643800833,0.14303,2022,1
70756072011,707560720,0.14303,2022,1
70954003330,709540033,0.14303,2022,1
71930000812,719300008,0.14303,2022,1
72888004701,728880047,0.14303,2022,1
527105001,5271050,0.19589,2022,1
904666361,9046663,0.19589,2022,1
23155028801,231550288,0.19589,2022,1
50268005411,502680054,0.19589,2022,1
50268005415,502680054,0.19589,2022,1
51672402301,516724023,0.19589,2022,1
52817020110,528170201,0.19589,2022,1
60687061901,606870619,0.19589,2022,1
60687061911,606870619,0.19589,2022,1
64380083406,643800834,0.19589,2022,1
70756072111,707560721,0.19589,2022,1
70954003430,709540034,0.19589,2022,1
71930000912,719300009,0.19589,2022,1
72888004801,728880048,0.19589,2022,1
16729033101,167290331,0.35457,2022,1
23155012001,231550120,0.35457,2022,1
23155078701,231550787,0.35457,2022,1
29033003001,290330030,0.35457,2022,1
42571024301,425710243,0.35457,2022,1
50268004211,502680042,0.35457,2023,1
50268004212,502680042,0.35457,2023,1
50742023301,507420233,0.35457,2022,1
60687057811,606870578,0.35457,2022,1
60687057821,606870578,0.35457,2022,1
70710159101,707101591,0.35457,2022,1
50383088915,503830889,1.37559,2022,1
52817081615,528170816,1.37559,2022,1
60432074116,604320741,1.37559,2022,1
64980042415,649800424,1.37559,2022,1
409330703,4093307,0.38115,2022,1
63323069130,633230691,0.38115,2022,1
517760425,5177604,1.80328,2022,1
63323069404,633230694,1.80328,2022,1
63323069444,633230694,1.80328,2022,1
904772714,9047727,0.01184,2022,1
904536560,9045365,0.0379,2022,1
46122039465,461220394,0.10648,2022,1
46122039475,461220394,0.10648,2022,1
70000004801,700000048,0.10648,2022,1
24385038563,243850385,0.14381,2022,1
24385038571,243850385,0.14381,2022,1
70000004901,700000049,0.14381,2022,1
70000041601,700000416,0.23976,2022,1
70000058201,700000582,0.23976,2022,1
70000023201,700000232,0.32399,2022,1
70000023202,700000232,0.32399,2022,1
70000023203,700000232,0.32399,2022,1
62856024330,628560243,21.39828,2022,0
69784024330,697840243,21.39828,2022,0
93113556,931135,6.91035,2022,1
115175008,1151750,6.91035,2022,1
378702093,3787020,6.91035,2022,1
42794008008,427940080,6.91035,2022,1
93113656,931136,10.7199,2022,1
115175308,1151753,10.7199,2022,1
378702393,3787023,10.7199,2022,1
42794008308,427940083,10.7199,2022,1
66993089630,669930896,10.7199,2022,1
536105656,5361056,0.07094,2022,1
536105625,5361056,0.22185,2022,1
536112925,5361129,0.2127,2022,1
536105556,5361055,0.07179,2022,1
536105525,5361055,0.22856,2022,1
536105775,5361057,0.06807,2022,1
904578961,9045789,0.10702,2022,1
23155022901,231550229,0.10702,2022,1
23155022905,231550229,0.10702,2022,1
60505004206,605050042,0.10702,2022,1
61442011401,614420114,0.10702,2022,1
61442011405,614420114,0.10702,2022,1
62135003950,621350039,0.10702,2022,1
68084010701,680840107,0.10702,2022,1
68084010711,680840107,0.10702,2022,1
69076014601,690760146,0.10702,2022,1
72578000201,725780002,0.10702,2022,1
72578000205,725780002,0.10702,2022,1
75834012401,758340124,0.10702,2022,1
378871273,3788712,0.15454,2022,1
472008216,4720082,0.15454,2022,1
23155048551,231550485,0.15454,2022,1
31722068147,317220681,0.15454,2022,1
50383081016,503830810,0.15454,2022,1
66689034216,666890342,0.15454,2022,1
70954018810,709540188,0.15454,2022,1
904579061,9045790,0.10601,2022,1
23155022701,231550227,0.10601,2022,1
23155022705,231550227,0.10601,2022,1
31722077701,317220777,0.10601,2022,1
31722077705,317220777,0.10601,2022,1
50268006111,502680061,0.10601,2022,1
50268006115,502680061,0.10601,2022,1
60505530601,605055306,0.10601,2022,1
60505530608,605055306,0.10601,2022,1
61442011201,614420112,0.10601,2022,1
61442011205,614420112,0.10601,2022,1
68084010801,680840108,0.10601,2022,1
68084010811,680840108,0.10601,2022,1
68382079101,683820791,0.10601,2022,1
68382079105,683820791,0.10601,2022,1
69117001801,691170018,0.10601,2022,1
69117001802,691170018,0.10601,2022,1
69452029020,694520290,0.10601,2022,1
69452029030,694520290,0.10601,2022,1
93363020,933630,38.37876,2022,1
45802004475,458020044,38.37876,2022,1
65162083614,651620836,38.37876,2022,1
378870049,3788700,0.68104,2022,1
591115930,5911159,0.68104,2022,1
713063031,7130630,0.68104,2022,1
13668051502,136680515,0.68104,2022,1
16714088502,167140885,0.68104,2022,1
33342043930,333420439,0.68104,2022,1
51672136002,516721360,0.68104,2022,1
63646030030,636460300,0.68104,2022,1
65162083596,651620835,0.68104,2022,1
68462074635,684620746,0.68104,2022,1
70700010716,707000107,0.68104,2022,1
72578008206,725780082,0.68104,2022,1
378870006,3788700,0.76942,2022,1
713063015,7130630,0.76942,2022,1
13668051501,136680515,0.76942,2022,1
16714088501,167140885,0.76942,2022,1
33342043915,333420439,0.76942,2022,1
51672136001,516721360,0.76942,2022,1
63646030015,636460300,0.76942,2022,1
65162083594,651620835,0.76942,2022,1
68462074617,684620746,0.76942,2022,1
70700010715,707000107,0.76942,2022,1
72578008201,725780082,0.76942,2022,1
23155022801,231550228,0.1914,2022,1
23155022805,231550228,0.1914,2022,1
31722077801,317220778,0.1914,2022,1
31722077805,317220778,0.1914,2022,1
50268006211,502680062,0.1914,2022,1
50268006215,502680062,0.1914,2022,1
60505530701,605055307,0.1914,2022,1
60505530705,605055307,0.1914,2022,1
61442011301,614420113,0.1914,2022,1
61442011305,614420113,0.1914,2022,1
62135001950,621350019,0.1914,2022,1
68084010901,680840109,0.1914,2022,1
68084010911,680840109,0.1914,2022,1
68382079201,683820792,0.1914,2022,1
68382079205,683820792,0.1914,2022,1
69117001901,691170019,0.1914,2022,1
69117001902,691170019,0.1914,2022,1
69452029120,694520291,0.1914,2022,1
69452029130,694520291,0.1914,2022,1
168042446,1680424,2.85451,2022,1
45802045384,458020453,2.85451,2022,1
68308070645,683080706,2.85451,2022,1
70000004302,700000043,0.374,2022,1
70000004301,700000043,0.50667,2022,1
68462040355,684620403,2.50035,2022,1
472012645,4720126,0.80268,2022,1
781714219,7817142,0.80268,2022,1
51672137706,516721377,0.80268,2022,1
62332054945,623320549,0.80268,2022,1
66993088445,669930884,0.80268,2022,1
781714270,7817142,2.66107,2022,1
