model,Accuracy,"Precision (class 0,1,2)","Recall (class 0,1,2)","Specificity (class 0,1,2)","F-score (class 0,1,2)"
Baseline,69.8%,"['0.0%', '69.8%', '0.0%']","['0.0%', '100.0%', '0.0%']","['96.3%', 'nan%', '73.5%']","['0.0%', '82.2%', '0.0%']"
Elastic Net,67.1%,"['53.6%', '83.8%', '45.5%']","['92.3%', '66.3%', '65.8%']","['99.7%', '47.5%', '85.3%']","['67.8%', '74.0%', '53.8%']"
Gradient Boosted Decision Tree,84.3%,"['62.0%', '91.8%', '71.9%']","['92.3%', '85.4%', '80.1%']","['99.7%', '71.0%', '92.5%']","['74.2%', '88.5%', '75.8%']"
KNN,74.1%,"['38.0%', '89.6%', '58.7%']","['93.9%', '72.2%', '76.4%']","['99.7%', '55.7%', '90.5%']","['54.1%', '80.0%', '66.4%']"
Lasso Regression,67.5%,"['55.4%', '83.5%', '45.6%']","['91.6%', '67.2%', '64.9%']","['99.7%', '47.9%', '85.0%']","['69.0%', '74.5%', '53.6%']"
Ridge Regression,67.5%,"['55.0%', '83.8%', '45.7%']","['91.6%', '66.9%', '65.7%']","['99.7%', '47.9%', '85.3%']","['68.8%', '74.4%', '53.9%']"
Random Forest,83.0%,"['58.0%', '91.8%', '69.6%']","['93.9%', '83.5%', '80.3%']","['99.8%', '68.5%', '92.5%']","['71.7%', '87.5%', '74.6%']"
Decision Tree,79.5%,"['53.2%', '86.0%', '68.0%']","['87.7%', '84.7%', '64.4%']","['99.5%', '65.9%', '87.4%']","['66.3%', '85.3%', '66.2%']"
