model,Accuracy,"Precision (class 0,1,2)","Recall (class 0,1,2)","Specificity (class 0,1,2)","F-score (class 0,1,2)"
Baseline,69.1%,"['0.0%', '69.1%', '0.0%']","['0.0%', '100.0%', '0.0%']","['97.0%', 'nan%', '72.1%']","['0.0%', '81.8%', '0.0%']"
Elastic Net,69.2%,"['39.0%', '85.6%', '51.2%']","['88.9%', '67.9%', '70.4%']","['99.6%', '50.8%', '86.6%']","['54.2%', '75.7%', '59.3%']"
KNN,69.9%,"['19.6%', '89.7%', '61.8%']","['91.7%', '65.1%', '79.3%']","['99.7%', '51.6%', '91.0%']","['32.4%', '75.5%', '69.5%']"
Lasso Regression,70.4%,"['40.0%', '85.2%', '52.6%']","['88.9%', '70.3%', '68.6%']","['99.6%', '52.2%', '86.3%']","['55.2%', '77.1%', '59.6%']"
Ridge Regression,69.4%,"['39.0%', '85.9%', '51.4%']","['88.9%', '67.8%', '71.3%']","['99.6%', '51.0%', '87.0%']","['54.2%', '75.8%', '59.7%']"
Random Forest,81.5%,"['40.0%', '92.2%', '70.2%']","['88.9%', '80.8%', '82.3%']","['99.6%', '66.3%', '92.7%']","['55.2%', '86.1%', '75.8%']"
Decision Tree,79.8%,"['34.9%', '91.3%', '68.5%']","['83.3%', '79.6%', '79.9%']","['99.5%', '64.5%', '91.7%']","['49.2%', '85.1%', '73.8%']"
