model,Accuracy,"Precision (class 0,1,2)","Recall (class 0,1,2)","Specificity (class 0,1,2)","F-score (class 0,1,2)"
Baseline,70.1%,"['0.0%', '70.1%', '0.0%']","['0.0%', '100.0%', '0.0%']","['95.9%', 'nan%', '74.2%']","['0.0%', '82.4%', '0.0%']"
Elastic Net,67.8%,"['54.8%', '85.8%', '45.7%']","['94.4%', '65.7%', '69.4%']","['99.8%', '48.1%', '87.0%']","['69.4%', '74.4%', '55.1%']"
Gradient Boosted Decision Tree,85.0%,"['60.4%', '92.7%', '73.2%']","['94.7%', '85.7%', '81.6%']","['99.8%', '71.6%', '93.3%']","['73.8%', '89.1%', '77.2%']"
KNN,74.1%,"['43.1%', '90.0%', '56.9%']","['96.8%', '71.6%', '77.2%']","['99.9%', '55.1%', '90.9%']","['59.6%', '79.8%', '65.5%']"
Lasso Regression,67.7%,"['56.4%', '83.7%', '45.0%']","['93.9%', '67.7%', '63.6%']","['99.7%', '47.8%', '85.2%']","['70.5%', '74.9%', '52.7%']"
Ridge Regression,67.5%,"['56.2%', '85.1%', '45.1%']","['93.0%', '65.9%', '68.0%']","['99.7%', '47.8%', '86.4%']","['70.0%', '74.3%', '54.2%']"
Random Forest,84.2%,"['61.6%', '92.4%', '71.2%']","['96.8%', '84.6%', '80.9%']","['99.9%', '70.0%', '93.0%']","['75.3%', '88.3%', '75.7%']"
Decision Tree,80.2%,"['59.3%', '88.6%', '65.3%']","['89.5%', '82.7%', '72.0%']","['99.5%', '65.0%', '89.9%']","['71.3%', '85.5%', '68.5%']"
